,Time,ppg,hr
233600,2018-06-29 10:46:32.000000,-28.82,86.22
233601,2018-06-29 10:46:32.031250,-56.14,86.22
233602,2018-06-29 10:46:32.062500,-95.12,86.22
233603,2018-06-29 10:46:32.093750,-93.92,86.22
233604,2018-06-29 10:46:32.125000,-44.47,86.22
233605,2018-06-29 10:46:32.156250,39.08,86.22
233606,2018-06-29 10:46:32.187500,121.58,86.22
233607,2018-06-29 10:46:32.218750,163.97,86.22
233608,2018-06-29 10:46:32.250000,129.27,86.22
233609,2018-06-29 10:46:32.281250,37.65,86.22
233610,2018-06-29 10:46:32.312500,-42.36,86.22
233611,2018-06-29 10:46:32.343750,-100.83,86.22
233612,2018-06-29 10:46:32.375000,-140.24,86.22
233613,2018-06-29 10:46:32.406250,-153.54,86.22
233614,2018-06-29 10:46:32.437500,-141.21,86.22
233615,2018-06-29 10:46:32.468750,-115.44,86.22
233616,2018-06-29 10:46:32.500000,-81.51,86.22
233617,2018-06-29 10:46:32.531250,-49.07,86.13
233618,2018-06-29 10:46:32.562500,-26.46,86.13
233619,2018-06-29 10:46:32.593750,-15.41,86.13
233620,2018-06-29 10:46:32.625000,-9.13,86.13
233621,2018-06-29 10:46:32.656250,-7.01,86.13
233622,2018-06-29 10:46:32.687500,-13.09,86.13
233623,2018-06-29 10:46:32.718750,-17.26,86.13
233624,2018-06-29 10:46:32.750000,-6.8,86.13
233625,2018-06-29 10:46:32.781250,17.13,86.13
233626,2018-06-29 10:46:32.812500,39.24,86.13
233627,2018-06-29 10:46:32.843750,49.93,86.13
233628,2018-06-29 10:46:32.875000,51.27,86.13
233629,2018-06-29 10:46:32.906250,52.24,86.13
233630,2018-06-29 10:46:32.937500,60.75,86.13
233631,2018-06-29 10:46:32.968750,77.02,86.13
233632,2018-06-29 10:46:33.000000,94.86,86.13
233633,2018-06-29 10:46:33.031250,105.78,86.13
233634,2018-06-29 10:46:33.062500,107.98,86.13
233635,2018-06-29 10:46:33.093750,109.96,86.13
233636,2018-06-29 10:46:33.125000,117.7,86.13
233637,2018-06-29 10:46:33.156250,118.2,86.13
233638,2018-06-29 10:46:33.187500,89.78,86.13
233639,2018-06-29 10:46:33.218750,31.26,86.13
233640,2018-06-29 10:46:33.250000,-31.24,86.13
