timestamp,accX,accY,accZ
0,2.4000000000000004,-7.6000000000000005,1.8
16,2.1,-7.6000000000000005,2.2
32,2.1,-7.6000000000000005,2.2
48,1.4000000000000001,-8.200000000000001,2.5
64,0.8,-8.6,2.0
80,0.9,-8.700000000000001,1.5
96,0.7000000000000001,-8.6,1.3
112,0.7000000000000001,-8.1,1.5
128,1.1,-7.4,1.9000000000000001
144,1.7000000000000002,-6.9,2.4000000000000004
160,2.0,-6.800000000000001,2.7
176,1.9000000000000001,-7.0,2.9000000000000004
192,1.4000000000000001,-7.4,3.2
208,1.0,-7.800000000000001,3.2
224,0.7000000000000001,-8.1,2.8000000000000003
240,1.1,-8.1,2.2
256,1.9000000000000001,-7.800000000000001,1.5
272,2.4000000000000004,-7.4,2.0
288,2.1,-7.4,3.3000000000000003
304,1.8,-7.800000000000001,4.2
320,1.5,-8.200000000000001,5.9
336,1.1,-8.1,6.800000000000001
352,0.1,-8.4,5.0
368,-0.7000000000000001,-8.6,3.1
384,0.2,-8.1,2.6
400,2.0,-7.300000000000001,5.2
416,5.7,-7.6000000000000005,8.3
432,5.7,-7.6000000000000005,8.3
448,9.1,-10.8,6.7
464,7.4,-13.200000000000001,-3.2
480,1.9000000000000001,-10.700000000000001,-7.6000000000000005
496,-0.7000000000000001,-7.2,-0.7000000000000001
512,-0.2,-5.7,9.1
528,0.5,-6.9,11.600000000000001
544,0.1,-9.5,9.3
560,-1.3,-13.5,6.1000000000000005
576,-1.5,-15.600000000000001,3.3000000000000003
592,0.1,-14.0,4.0
608,2.1,-11.5,3.6
624,2.9000000000000004,-10.100000000000001,1.7000000000000002
640,2.4000000000000004,-9.700000000000001,1.0
656,2.0,-9.600000000000001,1.9000000000000001
672,1.1,-9.200000000000001,2.4000000000000004
688,0.0,-8.3,2.7
704,0.0,-7.6000000000000005,3.1
720,0.8,-7.2,3.2
736,1.3,-7.1000000000000005,3.3000000000000003
752,1.4000000000000001,-7.4,3.0
768,1.5,-7.7,2.7
784,1.8,-7.800000000000001,2.7
800,2.0,-7.9,3.0
816,2.0,-8.200000000000001,3.3000000000000003
832,2.0,-8.200000000000001,3.3000000000000003
848,1.7000000000000002,-8.5,3.0
864,1.1,-8.700000000000001,2.7
880,0.7000000000000001,-8.700000000000001,3.0
896,0.5,-8.9,3.4000000000000004
912,0.2,-9.1,3.5
928,0.1,-9.4,3.3000000000000003
944,-0.1,-9.5,3.2
960,-0.1,-9.5,3.1
976,0.0,-9.700000000000001,3.1
992,-0.2,-10.5,3.8000000000000003
1008,0.0,-11.3,3.8000000000000003
1024,0.8,-11.9,2.8000000000000003
1040,0.7000000000000001,-11.700000000000001,2.3000000000000003
1056,0.30000000000000004,-11.4,2.4000000000000004
1072,0.0,-12.0,3.0
1088,0.2,-12.3,2.6
1104,2.0,-10.9,1.8
1120,3.6,-8.200000000000001,2.8000000000000003
1136,4.0,-6.1000000000000005,4.0
1152,4.3,-5.800000000000001,5.0
1168,5.5,-7.2,5.1000000000000005
1184,5.0,-9.200000000000001,5.6000000000000005
1200,2.1,-11.5,5.2
1216,0.30000000000000004,-12.8,3.1
1232,0.30000000000000004,-12.8,3.1
1248,0.1,-13.0,2.0
1264,0.4,-12.0,1.5
1280,1.2000000000000002,-10.0,2.1
1296,2.3000000000000003,-8.0,2.7
1312,2.7,-7.5,2.4000000000000004
1328,2.5,-7.6000000000000005,1.7000000000000002
1344,1.4000000000000001,-7.7,0.9
1360,0.4,-7.6000000000000005,1.0
1376,-0.1,-7.1000000000000005,1.7000000000000002
1392,0.2,-6.5,2.3000000000000003
1408,1.3,-6.1000000000000005,2.6
1424,2.5,-6.1000000000000005,2.6
1440,2.4000000000000004,-6.4,3.0
1456,1.6,-6.9,3.5
1472,1.0,-7.5,3.9000000000000004
1488,0.6000000000000001,-8.0,4.2
1504,0.4,-8.1,4.0
1520,0.6000000000000001,-7.9,3.5
1536,1.3,-7.300000000000001,3.1
1552,2.1,-6.6000000000000005,3.1
1568,2.7,-6.0,3.1
1584,3.0,-5.9,3.5
1600,2.9000000000000004,-6.2,4.2
1616,2.7,-6.6000000000000005,4.800000000000001
1632,2.7,-6.6000000000000005,4.800000000000001
1648,2.1,-7.1000000000000005,4.0
1664,1.8,-7.300000000000001,1.7000000000000002
1680,1.7000000000000002,-7.1000000000000005,1.4000000000000001
