timestamp,accX,accY,accZ
0,-3.7,-8.9,2.9000000000000004
16,-2.8000000000000003,-9.3,1.4000000000000001
32,-1.5,-11.0,0.30000000000000004
48,1.2000000000000002,-12.4,-1.4000000000000001
64,2.7,-11.8,-1.4000000000000001
80,-0.4,-10.5,1.4000000000000001
96,-0.4,-10.5,1.4000000000000001
112,-5.800000000000001,-13.5,0.5
128,-7.5,-14.9,-0.30000000000000004
144,-5.0,-10.600000000000001,-0.7000000000000001
160,-5.0,-10.600000000000001,-0.7000000000000001
176,-2.1,-6.4,0.1
192,-1.1,-5.1000000000000005,1.3
208,-1.2000000000000002,-6.800000000000001,2.4000000000000004
224,-0.9,-8.200000000000001,2.4000000000000004
240,-0.9,-8.200000000000001,2.4000000000000004
256,-0.5,-9.3,2.4000000000000004
272,0.5,-8.5,2.6
288,0.5,-8.5,2.6
304,0.30000000000000004,-7.7,2.7
320,-0.2,-7.300000000000001,2.6
336,-0.4,-7.2,2.4000000000000004
352,-0.8,-7.1000000000000005,2.4000000000000004
368,-1.5,-6.9,2.6
384,-2.3000000000000003,-7.5,2.5
400,-2.3000000000000003,-7.5,2.5
416,-3.3000000000000003,-8.0,2.5
432,-4.4,-8.200000000000001,2.8000000000000003
448,-5.800000000000001,-8.4,3.7
464,-5.800000000000001,-8.4,3.7
480,-5.5,-9.1,4.1000000000000005
496,-4.4,-10.0,3.9000000000000004
512,-3.3000000000000003,-10.100000000000001,3.3000000000000003
528,-3.3000000000000003,-9.600000000000001,4.0
544,-4.4,-9.1,5.4
560,-7.1000000000000005,-16.7,0.1
576,-7.1000000000000005,-16.7,0.1
592,-3.0,-20.0,0.7000000000000001
608,-0.30000000000000004,-18.5,-2.4000000000000004
624,1.5,-9.9,-1.3
640,1.5,-9.9,-1.3
656,2.5,-2.4000000000000004,1.9000000000000001
672,1.7000000000000002,-0.8,2.9000000000000004
688,1.4000000000000001,-3.7,1.9000000000000001
704,1.8,-8.200000000000001,1.0
720,1.6,-12.600000000000001,0.5
736,2.1,-14.0,0.8
752,3.2,-11.5,1.4000000000000001
768,2.4000000000000004,-8.8,1.4000000000000001
784,0.9,-7.7,2.4000000000000004
800,-0.5,-7.4,3.1
816,-1.5,-7.7,3.2
832,-1.9000000000000001,-8.3,2.6
848,-2.0,-9.200000000000001,1.7000000000000002
864,-1.8,-10.3,1.9000000000000001
880,-1.8,-10.3,1.9000000000000001
896,-1.2000000000000002,-9.5,2.0
912,-0.9,-8.8,2.0
928,-1.0,-8.4,2.7
944,-1.0,-8.4,2.7
960,-1.5,-8.5,2.8000000000000003
976,-1.9000000000000001,-8.8,2.4000000000000004
992,-2.4000000000000004,-9.1,2.2
1008,-2.4000000000000004,-9.200000000000001,1.9000000000000001
1024,-2.2,-9.200000000000001,1.7000000000000002
1040,-2.2,-9.200000000000001,1.7000000000000002
1056,-1.9000000000000001,-9.600000000000001,1.8
1072,-1.9000000000000001,-9.600000000000001,1.8
1088,-0.9,-9.700000000000001,2.2
1104,0.2,-10.0,3.2
1120,0.8,-10.100000000000001,4.4
1136,0.2,-10.0,4.800000000000001
1152,-0.5,-9.5,3.9000000000000004
1168,-1.2000000000000002,-8.9,3.3000000000000003
1184,-1.8,-8.4,3.1
1200,-1.9000000000000001,-8.3,3.2
1216,-2.9000000000000004,-8.6,3.5
1232,-2.2,-9.200000000000001,2.0
1248,-2.2,-9.200000000000001,2.0
1264,-0.9,-9.700000000000001,1.3
1280,0.5,-10.5,0.2
1296,1.7000000000000002,-10.5,-1.1
1312,2.0,-9.200000000000001,-0.1
1328,0.0,-8.8,1.5
1344,-7.800000000000001,-14.8,0.6000000000000001
1360,-7.800000000000001,-14.8,0.6000000000000001
1376,-7.300000000000001,-16.3,-1.3
1392,-5.4,-14.3,-1.8
1408,-0.6000000000000001,-6.300000000000001,0.8
1424,-0.6000000000000001,-6.300000000000001,0.8
1440,-0.6000000000000001,-6.300000000000001,0.8
1456,-0.7000000000000001,-5.4,1.8
1472,-1.0,-6.800000000000001,2.0
1488,-0.6000000000000001,-8.1,2.2
1504,-1.0,-8.8,2.9000000000000004
1520,-1.9000000000000001,-8.700000000000001,3.1
1536,-1.9000000000000001,-7.800000000000001,3.1
1552,-1.9000000000000001,-7.800000000000001,3.1
1568,-1.5,-7.7,2.7
1584,-1.7000000000000002,-7.800000000000001,2.6
1600,-2.0,-7.800000000000001,2.5
1616,-2.4000000000000004,-7.800000000000001,2.6
1632,-2.6,-7.800000000000001,2.4000000000000004
1648,-3.0,-8.0,2.3000000000000003
1664,-3.6,-8.1,2.4000000000000004
1680,-4.4,-8.0,2.4000000000000004
1696,-5.2,-8.0,2.5
1712,-5.800000000000001,-8.3,3.0
1728,-5.4,-9.0,4.0
1744,-3.7,-9.600000000000001,4.3
1760,-2.7,-9.600000000000001,4.3
1776,-2.9000000000000004,-9.3,4.3
1792,-3.8000000000000003,-8.700000000000001,4.2
1808,-5.800000000000001,-8.5,2.5
1824,-4.0,-17.5,1.1
1840,-4.0,-17.5,1.1
1856,-4.0,-17.5,1.1
1872,-0.30000000000000004,-17.0,-1.1
1888,0.5,-11.4,-2.0
1904,-0.1,-6.5,0.1
1920,-0.30000000000000004,-4.2,2.0
1936,1.4000000000000001,-5.800000000000001,2.4000000000000004
1952,3.8000000000000003,-9.1,1.4000000000000001
1968,3.8000000000000003,-12.100000000000001,1.1
1984,3.8000000000000003,-12.100000000000001,1.1
2000,3.6,-10.200000000000001,0.7000000000000001
2016,2.4000000000000004,-8.9,1.1
2032,1.4000000000000001,-8.5,2.7
2048,0.4,-8.4,3.6
2064,-0.5,-8.200000000000001,3.4000000000000004
2080,-1.5,-8.3,2.7
2096,-2.5,-8.8,2.1
2112,-3.1,-9.4,1.9000000000000001
2128,-3.2,-9.600000000000001,1.9000000000000001
2144,-3.0,-9.4,1.9000000000000001
2160,-2.6,-9.0,2.0
2176,-2.3000000000000003,-8.700000000000001,2.2
2192,-2.3000000000000003,-8.6,2.2
2208,-2.5,-8.5,1.9000000000000001
2224,-2.7,-8.5,1.7000000000000002
2240,-2.7,-8.5,1.7000000000000002
2256,-2.6,-8.6,1.7000000000000002
2272,-2.2,-8.700000000000001,1.8
2288,-1.9000000000000001,-8.9,1.8
2304,-1.7000000000000002,-9.1,1.8
2320,-0.2,-9.4,2.5
2336,-0.2,-9.4,2.5
2352,0.6000000000000001,-9.9,3.3000000000000003
2368,0.7000000000000001,-10.100000000000001,4.0
2384,-0.2,-10.200000000000001,4.0
2400,-1.3,-10.0,3.4000000000000004
2416,-1.9000000000000001,-9.5,2.9000000000000004
2432,-2.2,-8.700000000000001,3.1
2448,-2.2,-8.200000000000001,3.4000000000000004
2464,-3.0,-8.6,4.1000000000000005
2480,-3.4000000000000004,-9.1,4.4
2496,-1.3,-9.8,1.9000000000000001
2512,-1.3,-9.8,1.9000000000000001
2528,0.9,-11.200000000000001,0.4
2544,2.2,-10.9,-0.8
2560,2.1,-9.600000000000001,-0.9
2576,0.7000000000000001,-9.600000000000001,0.4
2592,-3.5,-11.9,2.4000000000000004
2608,-6.800000000000001,-14.3,2.2
2624,-6.300000000000001,-14.9,-0.4
2640,-6.300000000000001,-14.9,-0.4
2656,-4.6000000000000005,-12.9,-0.8
2672,-2.4000000000000004,-9.4,-0.1
2688,-1.4000000000000001,-6.300000000000001,1.6
2704,-1.4000000000000001,-6.300000000000001,1.6
2720,-1.2000000000000002,-7.800000000000001,2.0
2736,-0.7000000000000001,-9.0,2.3000000000000003
2752,-0.8,-8.6,2.7
2768,-0.8,-8.6,2.7
2784,-1.1,-7.800000000000001,2.8000000000000003
2800,-0.6000000000000001,-7.5,2.3000000000000003
2816,-0.6000000000000001,-7.6000000000000005,2.2
2832,-0.6000000000000001,-7.6000000000000005,2.2
2848,-1.1,-7.5,2.3000000000000003
2864,-2.0,-7.6000000000000005,2.4000000000000004
2880,-2.0,-7.6000000000000005,2.4000000000000004
2896,-2.6,-7.9,2.1
2912,-3.6,-8.0,2.2
2928,-4.800000000000001,-7.800000000000001,2.6
2944,-6.0,-7.7,3.4000000000000004
2960,-6.4,-8.700000000000001,4.1000000000000005
2976,-3.7,-10.3,4.2
2992,-3.7,-10.3,4.2
3008,-3.2,-9.9,3.8000000000000003
3024,-3.9000000000000004,-9.600000000000001,4.4
3040,-3.9000000000000004,-9.600000000000001,4.4
3056,-5.9,-11.700000000000001,2.5
3072,-7.2,-17.0,0.0
3088,-3.7,-17.900000000000002,-0.30000000000000004
3104,0.5,-12.700000000000001,-0.30000000000000004
3120,1.6,-6.2,1.2000000000000002
3136,-0.4,-4.2,1.4000000000000001
3152,-1.3,-4.6000000000000005,1.7000000000000002
3168,2.2,-10.9,-0.4
3184,2.2,-10.9,-0.4
3200,2.3000000000000003,-13.0,-0.2
3216,2.6,-11.4,1.4000000000000001
3232,2.4000000000000004,-8.6,2.1
3248,1.8,-7.4,1.5
3264,1.0,-7.6000000000000005,1.8
3280,-0.30000000000000004,-9.0,3.3000000000000003
3296,-0.30000000000000004,-9.0,3.3000000000000003
3312,-1.5,-9.1,2.7
3328,-2.3000000000000003,-8.9,1.5
3344,-2.8000000000000003,-9.0,1.0
3360,-2.9000000000000004,-9.4,1.2000000000000002
3376,-2.8000000000000003,-9.4,1.5
3392,-2.5,-9.1,1.8
3408,-2.2,-8.700000000000001,2.2
3424,-1.9000000000000001,-8.5,2.4000000000000004
3440,-1.9000000000000001,-8.5,2.4000000000000004
3456,-1.7000000000000002,-8.5,2.4000000000000004
3472,-1.7000000000000002,-8.700000000000001,2.1
3488,-1.7000000000000002,-8.700000000000001,2.1
3504,-1.9000000000000001,-8.8,1.9000000000000001
3520,-2.1,-8.8,1.6
3536,-1.7000000000000002,-8.700000000000001,1.6
3552,-0.8,-8.8,2.2
3568,0.0,-9.3,2.8000000000000003
3584,0.8,-9.9,3.7
3600,1.1,-10.5,4.5
3616,0.6000000000000001,-10.9,4.3
3632,-0.5,-10.9,3.7
3648,-2.4000000000000004,-9.0,2.9000000000000004
3664,-2.4000000000000004,-9.0,2.9000000000000004
3680,-2.9000000000000004,-8.9,3.1
3696,-3.8000000000000003,-9.4,3.7
3712,-3.4000000000000004,-9.4,2.9000000000000004
3728,-2.5,-9.8,2.5
3744,-1.2000000000000002,-10.5,1.5
3760,1.1,-9.600000000000001,-1.3
3776,1.1,-9.600000000000001,-1.3
3792,1.7000000000000002,-8.4,-0.5
3808,0.8,-7.9,1.4000000000000001
3824,-6.1000000000000005,-13.3,1.7000000000000002
3840,-6.1000000000000005,-13.3,1.7000000000000002
3856,-6.1000000000000005,-13.3,1.7000000000000002
3872,-6.0,-15.3,-0.7000000000000001
3888,-4.800000000000001,-13.9,-1.5
3904,-3.4000000000000004,-10.600000000000001,-0.1
3920,-2.3000000000000003,-7.0,0.8
3936,-2.0,-5.6000000000000005,1.6
3952,-1.0,-8.8,1.9000000000000001
3968,-1.0,-8.8,1.9000000000000001
3984,-0.30000000000000004,-9.1,2.3000000000000003
4000,-0.30000000000000004,-8.5,2.6
4016,-1.1,-7.2,2.5
4032,-1.1,-7.2,2.5
4048,-0.6000000000000001,-7.2,2.3000000000000003
4064,-1.1,-7.6000000000000005,2.6
4080,-1.1,-7.6000000000000005,2.6
4096,-1.8,-7.800000000000001,2.7
4112,-2.8000000000000003,-8.200000000000001,2.4000000000000004
4128,-4.1000000000000005,-8.700000000000001,1.7000000000000002
4144,-4.1000000000000005,-8.700000000000001,1.7000000000000002
4160,-4.5,-8.3,2.4000000000000004
4176,-4.6000000000000005,-8.0,3.7
4192,-4.6000000000000005,-8.5,5.7
4208,-4.9,-9.1,6.4
4224,-4.4,-9.600000000000001,4.7
4240,-4.4,-9.600000000000001,4.7
4256,-2.9000000000000004,-10.100000000000001,3.2
4272,-2.9000000000000004,-10.100000000000001,3.2
4288,-4.6000000000000005,-11.600000000000001,2.2
4304,-5.800000000000001,-15.9,1.1
4320,-0.6000000000000001,-12.8,0.8
4336,-0.6000000000000001,-12.8,0.8
4352,-0.1,-6.9,1.4000000000000001
4368,-0.8,-4.4,1.2000000000000002
4384,-0.8,-4.4,1.6
4400,0.9,-6.6000000000000005,0.8
4416,1.6,-10.0,-0.7000000000000001
4432,1.7000000000000002,-11.9,0.1
4448,1.7000000000000002,-11.9,0.1
4464,2.6,-9.200000000000001,1.5
4480,2.3000000000000003,-7.5,2.1
4496,0.9,-7.4,2.4000000000000004
4512,0.2,-8.0,2.8000000000000003
4528,-0.6000000000000001,-9.1,3.2
4544,-2.0,-9.5,1.1
4560,-2.0,-9.5,1.1
4576,-2.1,-9.3,1.1
4592,-2.0,-9.4,1.3
4608,-1.8,-9.600000000000001,1.3
4624,-1.6,-9.600000000000001,1.4000000000000001
4640,-1.6,-9.600000000000001,1.4000000000000001
4656,-1.6,-9.200000000000001,1.9000000000000001
4672,-1.6,-8.9,2.4000000000000004
4688,-1.7000000000000002,-8.700000000000001,2.7
4704,-2.0,-8.5,2.6
4720,-2.3000000000000003,-8.4,2.3000000000000003
4736,-2.3000000000000003,-8.700000000000001,1.9000000000000001
4752,-2.3000000000000003,-8.700000000000001,1.9000000000000001
4768,-2.2,-8.700000000000001,2.1
4784,-1.8,-8.700000000000001,2.6
4800,0.1,-10.0,3.5
4816,0.1,-10.0,3.5
4832,0.6000000000000001,-10.4,4.0
4848,0.1,-10.4,3.6
4864,-0.9,-10.100000000000001,2.8000000000000003
4880,-1.7000000000000002,-9.600000000000001,2.3000000000000003
4896,-2.0,-9.1,2.5
4912,-2.5,-8.700000000000001,3.6
4928,-2.5,-8.700000000000001,3.6
4944,-3.2,-9.0,4.2
4960,-2.6,-9.0,2.9000000000000004
4976,-1.8,-9.700000000000001,2.6
4992,-0.30000000000000004,-10.700000000000001,1.4000000000000001
5008,1.5,-10.200000000000001,-0.4
5024,2.1,-8.0,0.0
5040,2.1,-8.0,0.0
5056,2.1,-8.0,0.0
5072,-0.6000000000000001,-9.200000000000001,1.9000000000000001
5088,-4.5,-12.5,2.5
5104,-6.1000000000000005,-15.5,1.0
5120,-4.9,-15.9,-0.2
5136,-3.7,-12.5,0.1
5152,-2.5,-8.1,0.6000000000000001
5168,-1.9000000000000001,-5.6000000000000005,1.3
5184,-1.6,-6.7,2.0
5200,-0.8,-8.6,2.1
5216,0.4,-8.9,2.6
5232,0.4,-8.9,2.6
5248,-0.30000000000000004,-8.200000000000001,2.2
5264,-0.8,-7.4,2.4000000000000004
5280,-0.9,-7.300000000000001,2.7
5296,-0.9,-7.6000000000000005,2.6
5312,-1.1,-8.1,2.5
5328,-1.4000000000000001,-8.3,2.4000000000000004
5344,-1.7000000000000002,-8.5,2.2
5360,-2.0,-8.8,2.1
5376,-2.4000000000000004,-8.9,2.0
5392,-4.4,-8.5,2.0
5408,-4.4,-8.5,2.0
5424,-4.9,-8.0,3.0
5440,-4.9,-8.0,3.0
5456,-4.6000000000000005,-7.6000000000000005,4.6000000000000005
5472,-4.3,-7.7,5.300000000000001
5488,-3.7,-8.3,5.0
5504,-2.7,-8.8,4.800000000000001
5520,-2.8000000000000003,-8.4,6.1000000000000005
5536,-2.8000000000000003,-8.4,6.1000000000000005
5552,-5.0,-8.700000000000001,6.5
5568,-5.9,-13.600000000000001,2.4000000000000004
5584,-3.5,-18.900000000000002,0.1
5600,-2.4000000000000004,-18.2,-2.9000000000000004
5616,-0.9,-11.4,-1.2000000000000002
5632,1.9000000000000001,-5.2,1.1
5648,2.8000000000000003,-2.6,2.8000000000000003
5664,2.1,-4.0,2.6
5680,1.8,-7.7,1.0
5696,2.2,-11.9,0.5
5712,2.2,-11.9,0.5
5728,3.2,-11.3,0.5
5744,1.9000000000000001,-10.200000000000001,1.3
5760,0.5,-9.0,2.6
5776,-0.2,-7.9,2.7
5792,-0.5,-7.4,2.8000000000000003
5808,-1.2000000000000002,-7.800000000000001,2.6
5824,-2.1,-8.700000000000001,2.6
5840,-2.1,-8.700000000000001,2.6
5856,-2.6,-9.8,2.2
5872,-2.4000000000000004,-10.100000000000001,1.9000000000000001
5888,-2.0,-9.3,2.3000000000000003
5904,-2.0,-9.3,2.3000000000000003
5920,-2.1,-8.9,2.5
5936,-2.2,-8.6,2.6
5952,-2.3000000000000003,-8.5,2.5
5968,-2.2,-8.5,2.3000000000000003
5984,-2.0,-8.6,2.0
6000,-1.7000000000000002,-9.1,1.6
6016,-1.7000000000000002,-9.1,1.6
6032,-1.1,-9.1,1.8
6048,-0.30000000000000004,-9.1,2.4000000000000004
