,Time,ppg,hr
108800,2018-06-29 09:41:32.000000,23.38,69.82
108801,2018-06-29 09:41:32.031250,21.43,69.82
108802,2018-06-29 09:41:32.062500,15.24,69.82
108803,2018-06-29 09:41:32.093750,8.03,69.82
108804,2018-06-29 09:41:32.125000,3.71,69.82
108805,2018-06-29 09:41:32.156250,2.38,69.82
108806,2018-06-29 09:41:32.187500,1.75,69.82
108807,2018-06-29 09:41:32.218750,1.54,69.82
108808,2018-06-29 09:41:32.250000,2.57,69.82
108809,2018-06-29 09:41:32.281250,3.08,69.82
108810,2018-06-29 09:41:32.312500,0.48,69.82
108811,2018-06-29 09:41:32.343750,-4.52,69.82
108812,2018-06-29 09:41:32.375000,-9.22,69.82
108813,2018-06-29 09:41:32.406250,-13.17,69.82
108814,2018-06-29 09:41:32.437500,-18.24,69.82
108815,2018-06-29 09:41:32.468750,-25.45,69.82
108816,2018-06-29 09:41:32.500000,-33.98,69.82
108817,2018-06-29 09:41:32.531250,-41.93,69.87
108818,2018-06-29 09:41:32.562500,-47.22,69.87
108819,2018-06-29 09:41:32.593750,-50.14,69.87
108820,2018-06-29 09:41:32.625000,-53.76,69.87
108821,2018-06-29 09:41:32.656250,-59.29,69.87
108822,2018-06-29 09:41:32.687500,-62.08,69.87
108823,2018-06-29 09:41:32.718750,-55.45,69.87
108824,2018-06-29 09:41:32.750000,-38.88,69.87
108825,2018-06-29 09:41:32.781250,-19.09,69.87
108826,2018-06-29 09:41:32.812500,-2.73,69.87
108827,2018-06-29 09:41:32.843750,8.76,69.87
108828,2018-06-29 09:41:32.875000,16.97,69.87
108829,2018-06-29 09:41:32.906250,22.87,69.87
108830,2018-06-29 09:41:32.937500,26.8,69.87
108831,2018-06-29 09:41:32.968750,29.44,69.87
108832,2018-06-29 09:41:33.000000,31.23,69.87
108833,2018-06-29 09:41:33.031250,31.95,69.87
108834,2018-06-29 09:41:33.062500,31.54,69.87
108835,2018-06-29 09:41:33.093750,30.47,69.87
108836,2018-06-29 09:41:33.125000,28.65,69.87
108837,2018-06-29 09:41:33.156250,25.44,69.87
108838,2018-06-29 09:41:33.187500,21.32,69.87
108839,2018-06-29 09:41:33.218750,17.61,69.87
108840,2018-06-29 09:41:33.250000,14.01,69.87
108841,2018-06-29 09:41:33.281250,8.91,69.87
108842,2018-06-29 09:41:33.312500,2.27,69.87
108843,2018-06-29 09:41:33.343750,-3.8,69.87
108844,2018-06-29 09:41:33.375000,-8.18,69.87
108845,2018-06-29 09:41:33.406250,-12.12,69.87
108846,2018-06-29 09:41:33.437500,-17.25,69.87
108847,2018-06-29 09:41:33.468750,-24.03,69.87
108848,2018-06-29 09:41:33.500000,-30.48,69.87
108849,2018-06-29 09:41:33.531250,-31.76,69.95
108850,2018-06-29 09:41:33.562500,-24.17,69.95
108851,2018-06-29 09:41:33.593750,-10.38,69.95
108852,2018-06-29 09:41:33.625000,2.89,69.95
108853,2018-06-29 09:41:33.656250,11.77,69.95
108854,2018-06-29 09:41:33.687500,16.75,69.95
108855,2018-06-29 09:41:33.718750,19.09,69.95
108856,2018-06-29 09:41:33.750000,19.09,69.95
108857,2018-06-29 09:41:33.781250,17.57,69.95
108858,2018-06-29 09:41:33.812500,16.15,69.95
108859,2018-06-29 09:41:33.843750,15.65,69.95
108860,2018-06-29 09:41:33.875000,15.56,69.95
108861,2018-06-29 09:41:33.906250,14.96,69.95
108862,2018-06-29 09:41:33.937500,13.42,69.95
108863,2018-06-29 09:41:33.968750,11.04,69.95
108864,2018-06-29 09:41:34.000000,8.0,69.95
108865,2018-06-29 09:41:34.031250,4.14,69.95
108866,2018-06-29 09:41:34.062500,-0.92,69.95
108867,2018-06-29 09:41:34.093750,-6.88,69.95
