,time,total,x,z,y
76,1101,0.58256182,-0.41219305,0.35274685,0.21223766
77,1112,0.58182604,-0.37387236,0.37755704,0.23704785
78,1128,0.48579738,-0.2827379,0.35348379,0.17637343
79,1140,0.4011721,-0.14787855,0.31663697,0.19700764
80,1160,0.6548232,-0.27315773,0.34120152,0.4876062
81,1174,0.87684811,-0.62246554,0.44903986,0.42398403
82,1189,1.16885023,-0.98995112,0.49399298,0.37706575
83,1204,1.73032958,-1.50899994,0.56891484,0.62713281
84,1223,2.49130652,-2.29015243,0.70721322,0.67945529
85,1239,2.14537656,-1.89171553,0.41784289,0.92166169
86,1255,1.79440559,-1.43776276,0.25866465,1.04202795
87,1276,1.35363334,-1.07789219,0.21715057,0.78950444
88,1293,0.92884323,-0.79048702,0.08376509,0.48048248
89,1321,0.76840713,-0.43380985,0.57996888,0.25669948
90,1325,0.39036732,-0.08253687,0.36502912,-0.11103174
91,1330,0.17739564,0.12257707,0.10562754,-0.07271105
92,1333,0.24182855,0.24073253,0.02112551,0.00908888
93,1350,0.64824589,0.42128193,0.47237618,0.1400179
94,1365,2.80207114,0.66913818,0.35176427,2.69816951
95,1381,2.35932625,-0.37239849,1.36799945,1.88582004
96,1402,1.43154329,-0.12699869,1.39944207,0.27340337
97,1425,0.91441392,0.31884778,0.70205467,-0.49153652
98,1441,1.00793356,-0.22992413,0.56621274,0.80154107
99,1462,1.20695531,-0.7108979,0.72416276,0.65341687
100,1469,1.2166157,-0.84845935,0.42251016,0.76272909
101,1491,1.31710826,-0.71654775,0.21371153,1.08427897
102,1506,0.93222787,-0.53870045,0.35888799,0.6708577
103,1537,1.11016966,0.05797232,-0.62344813,0.91674878
104,1542,0.45935375,-0.03610988,-0.09801253,0.44732035
105,1556,3.13294899,-1.10245673,0.01768647,2.93251526
106,1568,8.23453508,-0.72735615,-1.76029522,8.01123472
107,1586,2.99798928,-1.23461398,2.3483704,-1.39600303
108,1609,3.87341464,-3.23686996,0.96808868,1.89441763
109,1628,3.3257436,-3.22041171,-0.07909783,0.8265969
110,1643,3.17925664,-2.63184524,-0.8617242,1.56156806
111,1668,2.00829329,0.51094251,-1.92414073,0.26431449
112,1676,1.36322074,-0.3876285,-0.82635126,1.0125505
113,1692,0.3550593,-0.01375614,0.26873611,-0.23164365
114,1712,0.50402362,0.20806169,-0.16875842,0.42693177
115,1730,1.25099194,-0.5276464,-0.98995112,0.55368482
116,1742,1.62853499,-0.79613687,-1.13709274,0.85165274
117,1757,2.07909143,-0.91257281,-1.45078197,1.1768873
118,1769,1.88561144,-0.89193859,-1.33360909,0.99068806
119,1779,1.54390537,-0.80203236,-0.80841914,1.04251925
120,1802,1.42487107,-0.77378313,-0.76911587,0.91650314
121,1812,1.24769534,-0.64874961,-0.7352168,0.77157233
122,1829,1.20523509,-0.58954905,-0.70696758,0.77795911
123,1841,1.03528447,-0.52641818,-0.64408234,0.61632441
124,1858,0.98043656,-0.40334981,-0.6730685,0.58782954
125,1874,0.91932621,-0.32548021,-0.69149191,0.51094251
126,1886,0.91729921,-0.30730244,-0.71310871,0.48834313
127,1897,1.0498643,-0.32793666,-0.7784504,0.62344813
128,1909,1.21145059,-0.35372943,-0.88383229,0.74921859
129,1927,1.28775926,-0.33358651,-0.9855295,0.75879876
130,1941,1.32598421,-0.28715952,-1.04325618,0.76641377
131,1957,1.33172184,-0.23876737,-1.06364475,0.7649399
132,1965,1.3255993,-0.22009831,-1.05824055,0.76739635
133,1978,1.28887632,-0.19062086,-0.98896854,0.80424317
134,1992,1.22333404,-0.20855298,-0.90790554,0.79294348
135,2004,1.15211317,-0.2368022,-0.81799931,0.77599394
136,2018,0.89382842,-0.36773122,-0.5173293,0.62934362
137,2035,0.89357644,-0.40285852,-0.47778038,0.63867814
138,2047,0.91590529,-0.38836544,-0.52420737,0.64285412
139,2070,0.92173783,-0.32793666,-0.57751243,0.63916943
140,2082,0.88861225,-0.2746316,-0.57481033,0.6195178
141,2095,0.85989087,-0.2476106,-0.54361336,0.61853522
142,2114,0.88060947,-0.26087546,-0.51118816,0.66790995
143,2130,0.91081768,-0.27831628,-0.53206802,0.68485949
144,2136,1.02360461,-0.31909343,-0.57309081,0.78581976
145,2152,1.16004425,-0.42177322,-0.56301935,0.92239863
146,2166,1.20003301,-0.38148737,-0.51118816,1.01648083
147,2178,1.10683185,-0.36330961,-0.47090231,0.93345267
148,2186,1.11660514,-0.38541769,-0.55098272,0.8914473
149,2195,1.18702917,-0.45862004,-0.63597604,0.89120165
150,2199,1.21489167,-0.48023683,-0.68731594,0.87916503
151,2226,0.9779919,-0.39426093,-0.60256826,0.66176881
152,2235,0.95773534,-0.38050479,-0.55540434,0.6811748
153,2243,0.85751758,-0.34513184,-0.42644048,0.65906671
154,2258,0.89859801,-0.38468076,-0.47753473,0.65685591
155,2263,0.94528486,-0.42177322,-0.51217074,0.67331415
156,2272,0.94768451,-0.43405549,-0.48539539,0.68854417
157,2292,0.87917543,-0.39548916,-0.33653425,0.70942403
158,2296,0.92101167,-0.43995098,-0.31270664,0.74627085
159,2300,1.03433326,-0.49595814,-0.32376069,0.84796806
